Designator,Mid X,Mid Y,Rotation,Layer
A1,100.0125,-91.91625,0.0,top
B1,185.7375,-110.96625,0.0,top
BKSLSH1,328.6125,-72.86625,0.0,top
BKSP1,323.85,-53.81625,0.0,top
BRKT_C1,304.8,-72.86625,0.0,top
BRKT_O1,285.75,-72.86625,0.0,top
C1,147.6375,-110.96625,0.0,top
CAPS1,73.81875,-91.91625,0.0,top
COLON1,271.4625,-91.91625,0.0,top
D1,76.2,-53.81625,90.0,bottom
D10,102.39375,-130.01625,90.0,bottom
D11,114.3,-53.81625,90.0,bottom
D12,123.825,-72.86625,90.0,bottom
D13,128.5875,-91.91625,90.0,bottom
D14,138.1125,-110.96625,90.0,bottom
D15,126.20625,-130.01625,90.0,bottom
D16,133.35,-53.81625,90.0,bottom
D17,142.875,-72.86625,90.0,bottom
D18,147.6375,-91.91625,90.0,bottom
D19,157.1625,-110.96625,90.0,bottom
D2,80.9625,-72.86625,90.0,bottom
D20,152.4,-53.81625,90.0,bottom
D21,161.925,-72.86625,90.0,bottom
D22,166.6875,-91.91625,90.0,bottom
D23,176.2125,-110.96625,90.0,bottom
D24,171.45,-53.81625,90.0,bottom
D25,180.975,-72.86625,90.0,bottom
D26,185.7375,-91.91625,90.0,bottom
D27,195.2625,-110.96625,90.0,bottom
D28,197.64375,-130.01625,90.0,bottom
D29,190.5,-53.81625,90.0,bottom
D3,83.34375,-91.91625,90.0,bottom
D30,200.025,-72.86625,90.0,bottom
D31,204.7875,-91.91625,90.0,bottom
D32,214.3125,-110.96625,90.0,bottom
D33,209.55,-53.81625,90.0,bottom
D34,219.075,-72.86625,90.0,bottom
D35,223.8375,-91.91625,90.0,bottom
D36,233.3625,-110.96625,90.0,bottom
D37,228.6,-53.81625,90.0,bottom
D38,238.125,-72.86625,90.0,bottom
D39,242.8875,-91.91625,90.0,bottom
D4,88.10625,-110.96625,90.0,bottom
D40,252.4125,-110.96625,90.0,bottom
D41,247.65,-53.81625,90.0,bottom
D42,257.175,-72.86625,90.0,bottom
D43,261.9375,-91.91625,90.0,bottom
D44,271.4625,-110.96625,90.0,bottom
D45,269.08125,-130.01625,90.0,bottom
D46,266.7,-53.81625,90.0,bottom
D47,276.225,-72.86625,90.0,bottom
D48,280.9875,-91.91625,90.0,bottom
D49,290.5125,-110.96625,90.0,bottom
D5,78.58125,-130.01625,90.0,bottom
D50,292.89375,-130.01625,90.0,bottom
D51,285.75,-53.81625,90.0,bottom
D52,295.275,-72.86625,90.0,bottom
D53,300.0375,-91.91625,90.0,bottom
D54,326.23125,-110.96625,90.0,bottom
D55,316.70625,-130.01625,90.0,bottom
D56,304.8,-53.81625,90.0,bottom
D57,314.325,-72.86625,90.0,bottom
D58,330.99375,-91.91625,90.0,bottom
D59,340.51875,-130.01625,90.0,bottom
D6,95.25,-53.81625,90.0,bottom
D60,333.375,-53.81625,90.0,bottom
D61,338.1375,-72.86625,90.0,bottom
D7,104.775,-72.86625,90.0,bottom
D8,109.5375,-91.91625,90.0,bottom
D9,119.0625,-110.96625,90.0,bottom
D_KEY1,138.1125,-91.91625,0.0,top
E1,133.35,-72.86625,0.0,top
ENTER1,321.46875,-91.91625,0.0,top
ESC1,66.675,-53.81625,0.0,top
F1,157.1625,-91.91625,0.0,top
FN1,283.36875,-130.01625,0.0,top
G1,176.2125,-91.91625,0.0,top
H1,195.2625,-91.91625,0.0,top
I1,228.6,-72.86625,0.0,top
J1,214.3125,-91.91625,0.0,top
K1,233.3625,-91.91625,0.0,top
L1,252.4125,-91.91625,0.0,top
L_ALT1,116.68125,-130.01625,0.0,top
L_CHEV1,242.8875,-110.96625,0.0,top
L_CTRL1,69.05625,-130.01625,0.0,top
L_SHIFT1,78.58125,-110.96625,0.0,top
M1,223.8375,-110.96625,0.0,top
MENU1,307.18125,-130.01625,0.0,top
MINUS1,276.225,-53.81625,0.0,top
N1,204.7875,-110.96625,0.0,top
NUM1,85.725,-53.81625,0.0,top
NUM10,257.175,-53.81625,0.0,top
NUM2,104.775,-53.81625,0.0,top
NUM3,123.825,-53.81625,0.0,top
NUM4,142.875,-53.81625,0.0,top
NUM5,161.925,-53.81625,0.0,top
NUM6,180.975,-53.81625,0.0,top
NUM7,200.025,-53.81625,0.0,top
NUM8,219.075,-53.81625,0.0,top
NUM9,238.125,-53.81625,0.0,top
O1,247.65,-72.86625,0.0,top
P1,266.7,-72.86625,0.0,top
PLUS1,295.275,-53.81625,0.0,top
Q1,95.25,-72.86625,0.0,top
QUOTE1,290.5125,-91.91625,0.0,top
R1,152.4,-72.86625,0.0,top
R_ALT1,259.55625,-130.01625,0.0,top
R_CHEV1,261.9375,-110.96625,0.0,top
R_CTRL1,330.99375,-130.01625,0.0,top
R_SHIFT1,316.70625,-110.96625,0.0,top
S1,119.0625,-91.91625,0.0,top
SLSH1,280.9875,-110.96625,0.0,top
SPACE1,188.11875,-130.01625,0.0,top
T1,171.45,-72.86625,0.0,top
TAB1,71.4375,-72.86625,0.0,top
U1,352.425,-91.91625,0.0,bottom
U2,209.55,-72.86625,0.0,top
V1,166.6875,-110.96625,0.0,top
W1,114.3,-72.86625,0.0,top
WIN1,92.86875,-130.01625,0.0,top
X1,128.5875,-110.96625,0.0,top
Y1,190.5,-72.86625,0.0,top
Z1,109.5375,-110.96625,0.0,top
